Date,open,high,low,Close,adjclose,volume,ticker
1996-01-01,65.78125,66.125,65.46875,65.625,26.99134063720703,7040.0,IDBI.NS
1996-01-02,65.625,65.9375,64.40625,64.71875,26.618600845336914,40960.0,IDBI.NS
1996-01-03,64.71875,65.625,64.75,64.84375,26.67001724243164,15680.0,IDBI.NS
1996-01-04,64.84375,64.53125,63.53125,63.71875,26.207305908203125,13440.0,IDBI.NS
1996-01-05,63.71875,64.3125,63.625,63.875,26.271568298339844,8480.0,IDBI.NS
1996-01-08,63.875,63.40625,62.40625,62.9375,25.885984420776367,49920.0,IDBI.NS
1996-01-09,62.9375,62.96875,62.03125,62.78125,25.821714401245117,28640.0,IDBI.NS
1996-01-10,62.78125,62.46875,61.90625,62.09375,25.538944244384766,12320.0,IDBI.NS
1996-01-11,62.09375,62.125,61.6875,62.125,25.551799774169922,9920.0,IDBI.NS
1996-01-12,62.125,62.5,61.9375,62.46875,25.69318199157715,7520.0,IDBI.NS
1996-01-15,62.46875,62.5,62.25,62.5,25.706035614013672,8320.0,IDBI.NS
1996-01-16,62.5,62.1875,60.65625,60.78125,24.99912452697754,40640.0,IDBI.NS
1996-01-17,60.78125,61.53125,60.0,60.15625,24.742061614990234,17120.0,IDBI.NS
1996-01-18,60.15625,59.375,58.75,59.21875,24.35647201538086,26400.0,IDBI.NS
1996-01-19,59.21875,58.59375,57.59375,57.71875,23.739524841308594,22240.0,IDBI.NS
1996-01-22,57.71875,57.8125,56.28125,56.71875,23.328229904174805,26880.0,IDBI.NS
1996-01-23,56.71875,57.5,56.28125,56.90625,23.405345916748047,51840.0,IDBI.NS
1996-01-24,56.90625,56.71875,55.78125,56.40625,23.19969367980957,24640.0,IDBI.NS
1996-01-25,56.40625,57.03125,56.25,56.5,23.238252639770508,11680.0,IDBI.NS
1996-01-26,56.5,56.5,56.5,56.5,23.238252639770508,0.0,IDBI.NS
1996-01-29,56.5,56.84375,56.15625,56.4375,23.212553024291992,14080.0,IDBI.NS
1996-01-30,56.4375,58.0625,56.65625,56.9375,23.418197631835938,28640.0,IDBI.NS
1996-01-31,56.9375,57.8125,56.875,57.5,23.649560928344727,11520.0,IDBI.NS
